dis_image,ref_image,rating,noise
I01_01_01.png,I01.png,0.9084,1
I01_01_02.png,I01.png,0.84733,1
I01_01_03.png,I01.png,0.42494,1
I01_01_04.png,I01.png,0.17048,1
I01_01_05.png,I01.png,0.02545,1
I01_02_01.png,I01.png,0.7201,2
I01_02_02.png,I01.png,0.32316,2
I01_02_03.png,I01.png,0.13486,2
I01_02_04.png,I01.png,0.05852,2
I01_02_05.png,I01.png,0.05089,2
I01_03_01.png,I01.png,0.94911,3
I01_03_02.png,I01.png,0.75573,3
I01_03_03.png,I01.png,0.43257,3
I01_03_04.png,I01.png,0.26209,3
I01_03_05.png,I01.png,0.12723,3
I01_04_01.png,I01.png,0.94911,4
I01_04_02.png,I01.png,0.29771,4
I01_04_03.png,I01.png,0.09415,4
I01_04_04.png,I01.png,0.12723,4
I01_04_05.png,I01.png,0.11959,4
I01_05_01.png,I01.png,0.76336,5
I01_05_02.png,I01.png,0.30534,5
I01_05_03.png,I01.png,0.14504,5
I01_05_04.png,I01.png,0.08397,5
I01_05_05.png,I01.png,0.15267,5
I01_06_01.png,I01.png,0.82188,6
I01_06_02.png,I01.png,0.86514,6
I01_06_03.png,I01.png,0.73791,6
I01_06_04.png,I01.png,0.48346,6
I01_06_05.png,I01.png,0.32316,6
I01_07_01.png,I01.png,0.4402,7
I01_07_02.png,I01.png,0.38168,7
I01_07_03.png,I01.png,0.32316,7
I01_07_04.png,I01.png,0.37405,7
I01_07_05.png,I01.png,0.30534,7
I01_08_01.png,I01.png,0.94148,8
I01_08_02.png,I01.png,0.70483,8
I01_08_03.png,I01.png,0.4402,8
I01_08_04.png,I01.png,0.24682,8
I01_08_05.png,I01.png,0.17048,8
I01_09_01.png,I01.png,0.91603,9
I01_09_02.png,I01.png,0.93384,9
I01_09_03.png,I01.png,0.86514,9
I01_09_04.png,I01.png,0.48346,9
I01_09_05.png,I01.png,0.09415,9
I01_10_01.png,I01.png,0.85751,10
I01_10_02.png,I01.png,0.74555,10
I01_10_03.png,I01.png,0.70483,10
I01_10_04.png,I01.png,0.14758,10
I01_10_05.png,I01.png,0.04326,10
I01_11_01.png,I01.png,0.77099,11
I01_11_02.png,I01.png,0.57761,11
I01_11_03.png,I01.png,0.42494,11
I01_11_04.png,I01.png,0.32316,11
I01_11_05.png,I01.png,0.3486,11
I01_12_01.png,I01.png,0.87277,12
I01_12_02.png,I01.png,0.68702,12
I01_12_03.png,I01.png,0.45038,12
I01_12_04.png,I01.png,0.3486,12
I01_12_05.png,I01.png,0.24682,12
I01_13_01.png,I01.png,0.67939,13
I01_13_02.png,I01.png,0.47583,13
I01_13_03.png,I01.png,0.40712,13
I01_13_04.png,I01.png,0.27226,13
I01_13_05.png,I01.png,0.26209,13
I01_14_01.png,I01.png,0.9084,14
I01_14_02.png,I01.png,0.65394,14
I01_14_03.png,I01.png,0.54198,14
I01_14_04.png,I01.png,0.38168,14
I01_14_05.png,I01.png,0.32316,14
I01_15_01.png,I01.png,0.65394,15
I01_15_02.png,I01.png,0.41476,15
I01_15_03.png,I01.png,0.19593,15
I01_15_04.png,I01.png,0.10178,15
I01_15_05.png,I01.png,0.08397,15
I01_16_01.png,I01.png,0.85751,16
I01_16_02.png,I01.png,0.88295,16
I01_16_03.png,I01.png,0.74809,16
I01_16_04.png,I01.png,0.55216,16
I01_16_05.png,I01.png,0.30025,16
I01_17_01.png,I01.png,0.89059,17
I01_17_02.png,I01.png,0.9084,17
I01_17_03.png,I01.png,0.84733,17
I01_17_04.png,I01.png,0.61069,17
I01_17_05.png,I01.png,0.28753,17
I01_18_01.png,I01.png,0.89059,18
I01_18_02.png,I01.png,0.9084,18
I01_18_03.png,I01.png,0.9084,18
I01_18_04.png,I01.png,0.85751,18
I01_18_05.png,I01.png,0.75573,18
I01_19_01.png,I01.png,0.89822,19
I01_19_02.png,I01.png,0.74555,19
I01_19_03.png,I01.png,0.45038,19
I01_19_04.png,I01.png,0.13486,19
I01_19_05.png,I01.png,0.09415,19
I01_20_01.png,I01.png,0.89822,20
I01_20_02.png,I01.png,0.73791,20
I01_20_03.png,I01.png,0.76336,20
I01_20_04.png,I01.png,0.59288,20
I01_20_05.png,I01.png,0.56743,20
I01_21_01.png,I01.png,0.60305,21
I01_21_02.png,I01.png,0.39949,21
I01_21_03.png,I01.png,0.26209,21
I01_21_04.png,I01.png,0.28753,21
I01_21_05.png,I01.png,0.10941,21
I01_22_01.png,I01.png,0.92366,22
I01_22_02.png,I01.png,0.76336,22
I01_22_03.png,I01.png,0.76336,22
I01_22_04.png,I01.png,0.5598,22
I01_22_05.png,I01.png,0.30534,22
I01_23_01.png,I01.png,0.4402,23
I01_23_02.png,I01.png,0.29771,23
I01_23_03.png,I01.png,0.30534,23
I01_23_04.png,I01.png,0.3486,23
I01_23_05.png,I01.png,0.14504,23
I01_24_01.png,I01.png,0.65394,24
I01_24_02.png,I01.png,0.38168,24
I01_24_03.png,I01.png,0.22137,24
I01_24_04.png,I01.png,0.15267,24
I01_24_05.png,I01.png,0.10178,24
I01_25_01.png,I01.png,0.61832,25
I01_25_02.png,I01.png,0.73028,25
I01_25_03.png,I01.png,0.82952,25
I01_25_04.png,I01.png,0.80662,25
I01_25_05.png,I01.png,0.57761,25
I02_01_01.png,I02.png,0.89059,1
I02_01_02.png,I02.png,0.80662,1
I02_01_03.png,I02.png,0.27226,1
I02_01_04.png,I02.png,0.14504,1
I02_01_05.png,I02.png,0.0687,1
I02_02_01.png,I02.png,0.5598,2
I02_02_02.png,I02.png,0.32316,2
I02_02_03.png,I02.png,0.14504,2
I02_02_04.png,I02.png,0.04326,2
I02_02_05.png,I02.png,0,2
I02_03_01.png,I02.png,0.91603,3
I02_03_02.png,I02.png,0.70483,3
I02_03_03.png,I02.png,0.33842,3
I02_03_04.png,I02.png,0.20356,3
I02_03_05.png,I02.png,0.05089,3
I02_04_01.png,I02.png,0.83969,4
I02_04_02.png,I02.png,0.42494,4
I02_04_03.png,I02.png,0.22137,4
I02_04_04.png,I02.png,0.19593,4
I02_04_05.png,I02.png,0.13486,4
I02_05_01.png,I02.png,0.70483,5
I02_05_02.png,I02.png,0.20356,5
I02_05_03.png,I02.png,0.08397,5
I02_05_04.png,I02.png,0.09415,5
I02_05_05.png,I02.png,0.11959,5
I02_06_01.png,I02.png,0.81425,6
I02_06_02.png,I02.png,0.78117,6
I02_06_03.png,I02.png,0.75573,6
I02_06_04.png,I02.png,0.68702,6
I02_06_05.png,I02.png,0.41476,6
I02_07_01.png,I02.png,0.37405,7
I02_07_02.png,I02.png,0.3486,7
I02_07_03.png,I02.png,0.26972,7
I02_07_04.png,I02.png,0.24682,7
I02_07_05.png,I02.png,0.13486,7
I02_08_01.png,I02.png,0.86514,8
I02_08_02.png,I02.png,0.61069,8
I02_08_03.png,I02.png,0.52417,8
I02_08_04.png,I02.png,0.24682,8
I02_08_05.png,I02.png,0.09415,8
I02_09_01.png,I02.png,0.9084,9
I02_09_02.png,I02.png,0.69466,9
I02_09_03.png,I02.png,0.52672,9
I02_09_04.png,I02.png,0.13486,9
I02_09_05.png,I02.png,0.0687,9
I02_10_01.png,I02.png,0.91603,10
I02_10_02.png,I02.png,0.84733,10
I02_10_03.png,I02.png,0.79644,10
I02_10_04.png,I02.png,0.40712,10
I02_10_05.png,I02.png,0.15267,10
I02_11_01.png,I02.png,0.83206,11
I02_11_02.png,I02.png,0.68702,11
I02_11_03.png,I02.png,0.61069,11
I02_11_04.png,I02.png,0.4402,11
I02_11_05.png,I02.png,0.33079,11
I02_12_01.png,I02.png,0.92366,12
I02_12_02.png,I02.png,0.77863,12
I02_12_03.png,I02.png,0.67939,12
I02_12_04.png,I02.png,0.40712,12
I02_12_05.png,I02.png,0.3486,12
I02_13_01.png,I02.png,0.81425,13
I02_13_02.png,I02.png,0.59288,13
I02_13_03.png,I02.png,0.4402,13
I02_13_04.png,I02.png,0.38931,13
I02_13_05.png,I02.png,0.24682,13
I02_14_01.png,I02.png,0.84733,14
I02_14_02.png,I02.png,0.60305,14
I02_14_03.png,I02.png,0.43257,14
I02_14_04.png,I02.png,0.33842,14
I02_14_05.png,I02.png,0.25445,14
I02_15_01.png,I02.png,0.65394,15
I02_15_02.png,I02.png,0.45038,15
